_id,simulation,simulationSpeed,elapsedRealTime,elapsedSimulationTime,cause.id,cause.params.inputId,cause.params.droneId,cause.params.detectorId,cause.params.controlModeId,cause.params.selected,cause.params.controlMode.id,cause.params.controlMode.key,cause.params.incidentId,cause.params.incidentType,cause.params.targetPosition,cause.params.type,cause.params.id
ObjectID(545a36a1fd19ec4943e342ce),ObjectID(545a366afd19ec4943e33f5e),1,51200,51200,0,4,1,,,,,,,,,,
ObjectID(545a36a3fd19ec4943e342dc),ObjectID(545a3671fd19ec4943e33fb3),1,45700,45700,0,4,1,,,,,,,,,,
ObjectID(545a36a3fd19ec4943e342e9),ObjectID(545a3671fd19ec4943e33fb3),1,45900,45900,0,4,1,,,,,,,,,,
ObjectID(545a36a4fd19ec4943e342f6),ObjectID(545a366afd19ec4943e33f5e),1,53150,53150,0,4,1,,,,,,,,,,
ObjectID(545a36a4fd19ec4943e34304),ObjectID(545a3697fd19ec4943e34214),1,11750,11750,0,0,1,,,,,,,,,,
ObjectID(545a36a5fd19ec4943e34311),ObjectID(545a36a5fd19ec4943e34310),1,0,0,,,,,,,,,,,,,
ObjectID(545a36a5fd19ec4943e34330),ObjectID(545a36a5fd19ec4943e34310),1,50,50,1,,1,,,,,,,,,,
ObjectID(545a36a5fd19ec4943e3434f),ObjectID(545a36a5fd19ec4943e34310),1,50,50,1,,2,,,,,,,,,,
ObjectID(545a36a5fd19ec4943e3436d),ObjectID(545a36a5fd19ec4943e34310),1,50,50,1,,3,,,,,,,,,,
ObjectID(545a36a7fd19ec4943e3438a),ObjectID(545a3697fd19ec4943e341dc),1,14650,14650,0,0,1,,,,,,,,,,
ObjectID(545a36a7fd19ec4943e34397),ObjectID(545a366bfd19ec4943e33f7b),1,54800,54800,0,0,1,,,,,,,,,,
ObjectID(545a36a7fd19ec4943e343a3),ObjectID(545a3671fd19ec4943e33fb3),1,49700,49700,0,4,1,,,,,,,,,,
ObjectID(545a36a7fd19ec4943e343b0),ObjectID(545a3697fd19ec4943e34214),1,14750,14750,0,0,1,,,,,,,,,,
ObjectID(545a36a8fd19ec4943e343bc),ObjectID(545a3669fd19ec4943e33f26),1,57400,57400,0,0,1,,,,,,,,,,
ObjectID(545a36a8fd19ec4943e343c8),ObjectID(545a366afd19ec4943e33f5e),1,57250,57250,0,0,1,,,,,,,,,,
ObjectID(545a36a8fd19ec4943e343d6),ObjectID(545a3669fd19ec4943e33f41),1,57750,57750,0,0,1,,,,,,,,,,
ObjectID(545a36a9fd19ec4943e343e3),ObjectID(545a366afd19ec4943e33f5e),1,58150,58150,0,0,1,,,,,,,,,,
ObjectID(545a36abfd19ec4943e343f1),ObjectID(545a366afd19ec4943e33f5e),1,59750,59750,0,0,1,,,,,,,,,,
ObjectID(545a36acfd19ec4943e343ff),ObjectID(545a3676fd19ec4943e33ff7),1,49500,49500,0,0,1,,,,,,,,,,
ObjectID(545a36acfd19ec4943e3440c),ObjectID(545a366afd19ec4943e33f5e),1,61100,61100,0,0,1,,,,,,,,,,
ObjectID(545a36adfd19ec4943e3441a),ObjectID(545a3671fd19ec4943e33fb3),1,54650,54650,0,4,1,,,,,,,,,,
ObjectID(545a36adfd19ec4943e34427),ObjectID(545a3697fd19ec4943e341dc),1,20300,20300,0,0,1,,,,,,,,,,
ObjectID(545a36adfd19ec4943e34434),ObjectID(545a366afd19ec4943e33f5e),1,61950,61950,0,0,1,,,,,,,,,,
ObjectID(545a36aefd19ec4943e34442),ObjectID(545a3691fd19ec4943e3417d),1,27100,27100,0,0,1,,,,,,,,,,
ObjectID(545a36aefd19ec4943e3444f),ObjectID(545a3669fd19ec4943e33f41),1,63200,63200,0,0,1,,,,,,,,,,
ObjectID(545a36affd19ec4943e3445c),ObjectID(545a3669fd19ec4943e33f26),1,63650,63650,0,4,1,,,,,,,,,,
ObjectID(545a36affd19ec4943e34468),ObjectID(545a3697fd19ec4943e341dc),1,22350,22350,0,0,1,,,,,,,,,,
ObjectID(545a36affd19ec4943e34475),ObjectID(545a3669fd19ec4943e33f41),1,64050,64050,0,0,1,,,,,,,,,,
ObjectID(545a36affd19ec4943e34482),ObjectID(545a3676fd19ec4943e33ff7),1,52450,52450,0,0,1,,,,,,,,,,
ObjectID(545a36affd19ec4943e3448f),ObjectID(545a366afd19ec4943e33f5e),1,63800,63800,0,0,1,,,,,,,,,,
ObjectID(545a36b0fd19ec4943e3449d),ObjectID(545a366afd19ec4943e33f5e),1,63950,63950,0,0,1,,,,,,,,,,
ObjectID(545a36b0fd19ec4943e344ab),ObjectID(545a366afd19ec4943e33f5e),1,64100,64100,0,0,1,,,,,,,,,,
ObjectID(545a36b0fd19ec4943e344b9),ObjectID(545a3676fd19ec4943e33ff7),1,52800,52800,0,0,1,,,,,,,,,,
ObjectID(545a36b0fd19ec4943e344c6),ObjectID(545a3676fd19ec4943e33ff7),1,52950,52950,0,0,1,,,,,,,,,,
ObjectID(545a36b0fd19ec4943e344d3),ObjectID(545a3676fd19ec4943e33ff7),1,53100,53100,0,0,1,,,,,,,,,,
ObjectID(545a36b2fd19ec4943e344e0),ObjectID(545a3697fd19ec4943e341dc),1,24700,24700,0,0,1,,,,,,,,,,
ObjectID(545a36b2fd19ec4943e344ed),ObjectID(545a369ffd19ec4943e34299),1,17950,17950,0,0,1,,,,,,,,,,
ObjectID(545a36b2fd19ec4943e344fa),ObjectID(545a366afd19ec4943e33f5e),1,66650,66650,0,4,1,,,,,,,,,,
ObjectID(545a36b3fd19ec4943e34509),ObjectID(545a36b3fd19ec4943e34508),1,0,0,,,,,,,,,,,,,
ObjectID(545a36b3fd19ec4943e34517),ObjectID(545a3671fd19ec4943e33fb3),1,60650,60650,0,4,1,,,,,,,,,,
ObjectID(545a36b3fd19ec4943e34524),ObjectID(545a36b3fd19ec4943e34508),1,50,50,1,,1,,,,,,,,,,
ObjectID(545a36b4fd19ec4943e34532),ObjectID(545a366afd19ec4943e33f5e),1,67600,67600,0,0,1,,,,,,,,,,
ObjectID(545a36b4fd19ec4943e34540),ObjectID(545a369efd19ec4943e34271),1,20250,20250,0,0,1,,,,,,,,,,
ObjectID(545a36b4fd19ec4943e3454c),ObjectID(545a3697fd19ec4943e341dc),1,26650,26650,0,0,1,,,,,,,,,,
ObjectID(545a36b4fd19ec4943e34559),ObjectID(545a3671fd19ec4943e33fb3),1,61750,61750,0,4,1,,,,,,,,,,
ObjectID(545a36b6fd19ec4943e34567),ObjectID(545a36b6fd19ec4943e34566),1,0,0,,,,,,,,,,,,,
ObjectID(545a36b6fd19ec4943e34575),ObjectID(545a36b6fd19ec4943e34566),1,50,50,1,,1,,,,,,,,,,
ObjectID(545a36b7fd19ec4943e34583),ObjectID(545a3671fd19ec4943e33fb3),1,63900,63900,0,4,1,,,,,,,,,,
ObjectID(545a36b9fd19ec4943e34590),ObjectID(545a3691fd19ec4943e3417d),1,36600,36600,0,4,1,,,,,,,,,,
ObjectID(545a36b9fd19ec4943e3459d),ObjectID(545a3669fd19ec4943e33f41),1,72700,72700,0,4,1,,,,,,,,,,
ObjectID(545a36bafd19ec4943e345aa),ObjectID(545a366afd19ec4943e33f5e),1,73100,73100,0,4,1,,,,,,,,,,
ObjectID(545a36bafd19ec4943e345b8),ObjectID(545a3691fd19ec4943e3417d),1,38050,38050,0,4,1,,,,,,,,,,
ObjectID(545a36bbfd19ec4943e345c5),ObjectID(545a3691fd19ec4943e3417d),1,39200,39200,0,4,1,,,,,,,,,,
ObjectID(545a36bcfd19ec4943e345d2),ObjectID(545a3669fd19ec4943e33f41),1,75350,75350,0,4,1,,,,,,,,,,
ObjectID(545a36bdfd19ec4943e345df),ObjectID(545a3676fd19ec4943e33ff7),1,64550,64550,0,0,1,,,,,,,,,,
ObjectID(545a36bdfd19ec4943e345ec),ObjectID(545a3691fd19ec4943e3417d),1,40200,40200,0,4,1,,,,,,,,,,
ObjectID(545a36bdfd19ec4943e345f9),ObjectID(545a3676fd19ec4943e33ff7),1,65150,65150,0,0,1,,,,,,,,,,
ObjectID(545a36bdfd19ec4943e34606),ObjectID(545a3676fd19ec4943e33ff7),1,65300,65300,0,0,1,,,,,,,,,,
ObjectID(545a36befd19ec4943e34613),ObjectID(545a3676fd19ec4943e33ff7),1,65550,65550,0,0,1,,,,,,,,,,
ObjectID(545a36befd19ec4943e34620),ObjectID(545a3691fd19ec4943e3417d),1,41450,41450,0,4,1,,,,,,,,,,
ObjectID(545a36befd19ec4943e3462e),ObjectID(545a36befd19ec4943e3462d),1,0,0,,,,,,,,,,,,,
ObjectID(545a36befd19ec4943e3463c),ObjectID(545a36befd19ec4943e3462d),1,50,50,1,,1,,,,,,,,,,
ObjectID(545a36bffd19ec4943e3464a),ObjectID(545a3676fd19ec4943e33ff7),1,66550,66550,0,0,1,,,,,,,,,,
ObjectID(545a36bffd19ec4943e34657),ObjectID(545a3691fd19ec4943e3417d),1,42700,42700,0,4,1,,,,,,,,,,
ObjectID(545a36c0fd19ec4943e34665),ObjectID(545a36c0fd19ec4943e34664),1,0,0,,,,,,,,,,,,,
ObjectID(545a36c0fd19ec4943e34673),ObjectID(545a36c0fd19ec4943e34664),1,50,50,1,,1,,,,,,,,,,
